"Municipality","Cases","Hospitalization","Deaths","Cases.per.100k","Hospitalization.per.100k","Deaths.per.100k"
"Montfoort",32,12,4,229.9,86.2,28.7
"Mook en Middelaar",31,6,4,395.1,76.5,51
"Neder-Betuwe",84,31,14,345.1,127.4,57.5
"Nederweert",43,28,7,252.6,164.5,41.1
"Nieuwegein",88,37,11,138.7,58.3,17.3
"Nieuwkoop",44,8,4,152.7,27.8,13.9
"Nijkerk",48,21,2,111.2,48.6,4.6
"Nijmegen",484,116,45,272.4,65.3,25.3
"Nissewaard",129,39,9,151.3,45.8,10.6
"Noardeast-Fryslân",23,6,4,50.8,13.3,8.8
"Noord-Beveland",5,1,0,67.6,13.5,0
"Noordenveld",17,3,1,54.4,9.6,3.2
"Noordoostpolder",54,14,3,114.3,29.6,6.3
"Noordwijk",37,14,1,85,32.2,2.3
"Nuenen Gerwen en Nederwetten",41,15,6,175.4,64.2,25.7
"Nunspeet",158,34,16,567.4,122.1,57.5
"Oegstgeest",36,7,1,144.9,28.2,4
"Oirschot",50,12,6,267.1,64.1,32
"Oisterwijk",54,16,9,205.8,61,34.3
"Oldambt",9,4,0,23.6,10.5,0
"Oldebroek",112,26,13,473.7,110,55
"Oldenzaal",46,14,5,144.5,44,15.7
"Olst-Wijhe",40,12,6,219.2,65.7,32.9
"Ommen",46,9,2,255.5,50,11.1
"Oost Gelre",46,9,5,155.3,30.4,16.9
"Oosterhout",85,39,12,151.8,69.7,21.4
"Ooststellingwerf",6,3,0,23.6,11.8,0
"Oostzaan",23,10,1,236.3,102.7,10.3
"Opmeer",7,1,1,59.1,8.4,8.4
"Opsterland",22,6,0,74,20.2,0
"Oss",393,120,74,427.5,130.5,80.5
"Oude IJsselstreek",54,14,6,137.1,35.5,15.2
"Ouder-Amstel",25,5,0,178.2,35.6,0
"Oudewater",46,25,7,449.8,244.5,68.5
"Overbetuwe",108,55,12,225.4,114.8,25
"Papendrecht",46,7,7,143.2,21.8,21.8
"Peel en Maas",244,139,56,562,320.1,129
"Pekela",5,4,0,41,32.8,0
"Pijnacker-Nootdorp",87,22,7,157.2,39.8,12.7
"Purmerend",174,61,20,214.2,75.1,24.6
"Putten",17,3,0,70.5,12.4,0
"Raalte",118,23,10,312.9,61,26.5
"Reimerswaal",25,4,2,110,17.6,8.8
"Renkum",55,14,3,175.1,44.6,9.6
"Renswoude",16,4,5,293.7,73.4,91.8
"Reusel-De Mierden",21,10,1,160.2,76.3,7.6
"Rheden",64,31,14,146.3,70.9,32
"Rhenen",20,7,4,99.4,34.8,19.9
"Ridderkerk",89,32,10,192.6,69.3,21.6
"Rijssen-Holten",107,26,6,280.3,68.1,15.7
"Rijswijk",83,25,12,152.5,45.9,22
"Roerdalen",43,26,7,209,126.4,34
"Roermond",116,54,20,199.1,92.7,34.3
"Roosendaal",172,24,15,222.7,31.1,19.4
"Rotterdam",1651,368,143,253.5,56.5,22
"Rozendaal",3,1,0,176,58.7,0
"Rucphen",44,7,7,192.4,30.6,30.6
"s-Gravenhage",919,259,101,168.6,47.5,18.5
"Schagen",67,19,3,144.1,40.9,6.5
"Scherpenzeel",19,3,2,192.3,30.4,20.2
"Schiedam",154,36,7,195.6,45.7,8.9
"Schiermonnikoog",0,0,0,0,0,0
"Schouwen-Duiveland",30,11,0,88.6,32.5,0
"Simpelveld",37,17,3,350.6,161.1,28.4
"Sint Anthonis",58,19,10,496.9,162.8,85.7
"Sint-Michielsgestel",77,34,13,263.7,116.4,44.5
