Municipality,Cases,Hospitalization,Deaths,Population,Cases per 100k,Hospitalization per 100k,Deaths per 100k
Peel en Maas,256,141,57,43420,589.6,324.7,131.3
Pekela,5,4,0,12199,41,32.8,0
Pijnacker-Nootdorp,103,21,9,55329,186.2,38,16.3
Purmerend,194,64,27,81233,238.8,78.8,33.2
Putten,19,4,0,24113,78.8,16.6,0
Raalte,136,23,16,37709,360.7,61,42.4
Reimerswaal,28,4,2,22728,123.2,17.6,8.8
Renkum,60,14,4,31404,191.1,44.6,12.7
Renswoude,18,5,5,5448,330.4,91.8,91.8
Reusel-De Mierden,21,10,2,13110,160.2,76.3,15.3
Rheden,66,32,14,43736,150.9,73.2,32
Rhenen,22,7,4,20125,109.3,34.8,19.9
Ridderkerk,96,33,11,46204,207.8,71.4,23.8
Rijssen-Holten,128,27,9,38178,335.3,70.7,23.6
Rijswijk,99,30,16,54432,181.9,55.1,29.4
Roerdalen,46,27,7,20572,223.6,131.2,34
Roermond,121,58,20,58254,207.7,99.6,34.3
Roosendaal,192,26,16,77226,248.6,33.7,20.7
Rotterdam,1860,404,185,651376,285.5,62,28.4
Rozendaal,3,1,0,1705,176,58.7,0
Rucphen,53,8,7,22873,231.7,35,30.6
s-Gravenhage,1081,274,128,545163,198.3,50.3,23.5
Schagen,69,19,7,46482,148.4,40.9,15.1
Scherpenzeel,20,3,2,9880,202.4,30.4,20.2
Schiedam,172,40,9,78739,218.4,50.8,11.4
Schiermonnikoog,0,0,0,947,0,0,0
Schouwen-Duiveland,31,11,0,33858,91.6,32.5,0
Simpelveld,39,17,3,10552,369.6,161.1,28.4
Sint Anthonis,61,20,10,11672,522.6,171.4,85.7
Sint-Michielsgestel,88,35,15,29203,301.3,119.9,51.4
Sittard-Geleen,344,106,48,92422,372.2,114.7,51.9
Sliedrecht,42,8,3,25217,166.6,31.7,11.9
Sluis,17,8,4,23217,73.2,34.5,17.2
Smallingerland,50,9,4,56154,89,16,7.1
Soest,73,22,10,46607,156.6,47.2,21.5
Someren,91,29,6,19376,469.7,149.7,31
Son en Breugel,68,29,14,17321,392.6,167.4,80.8
Stadskanaal,5,2,1,31688,15.8,6.3,3.2
Staphorst,55,8,4,17144,320.8,46.7,23.3
Stede Broec,47,19,5,21734,216.3,87.4,23
Steenbergen,72,13,11,24501,293.9,53.1,44.9
Steenwijkerland,82,14,5,44139,185.8,31.7,11.3
Stein,104,41,15,25000,416,164,60
Stichtse Vecht,93,30,7,64928,143.2,46.2,10.8
Súdwest-Fryslân,69,17,3,89987,76.7,18.9,3.3
Terneuzen,101,24,3,54438,185.5,44.1,5.5
Terschelling,2,0,0,4889,40.9,0,0
Texel,10,4,1,13573,73.7,29.5,7.4
Teylingen,46,12,1,37426,122.9,32.1,2.7
Tholen,131,38,14,25758,508.6,147.5,54.4
Tiel,96,40,16,42161,227.7,94.9,37.9
Tilburg,637,175,145,219800,289.8,79.6,66
Tubbergen,74,11,3,21279,347.8,51.7,14.1
Twenterand,54,12,2,33743,160,35.6,5.9
Tynaarlo,37,9,0,33879,109.2,26.6,0
Tytsjerksteradiel,15,4,1,32046,46.8,12.5,3.1
Uden,248,115,60,42122,588.8,273,142.4
Uitgeest,21,5,1,13649,153.9,36.6,7.3
Uithoorn,46,16,2,29466,156.1,54.3,6.8
Urk,66,21,4,21033,313.8,99.8,19
Utrecht,777,223,76,357694,217.2,62.3,21.2
Utrechtse Heuvelrug,90,29,10,49601,181.4,58.5,20.2
Vaals,28,10,1,10099,277.3,99,9.9
Valkenburg aan de Geul,70,16,7,16360,427.9,97.8,42.8
Valkenswaard,149,16,31,31200,477.6,51.3,99.4
Veendam,9,2,0,27387,32.9,7.3,0
Veenendaal,142,47,10,66491,213.6,70.7,15
Veere,24,6,2,21885,109.7,27.4,9.1
Veldhoven,113,28,16,45458,248.6,61.6,35.2
Velsen,244,30,33,68660,355.4,43.7,48.1
Venlo,281,124,53,101797,276,121.8,52.1
Venray,99,37,16,43604,227,84.9,36.7
Vijfheerenlanden,202,29,33,56816,355.5,51,58.1
Vlaardingen,219,33,16,73445,298.2,44.9,21.8
Vlieland,0,0,0,1152,0,0,0
Vlissingen,47,9,5,44365,105.9,20.3,11.3
